DAgger Iterations,Mean Return,Stdev Return,Train Max Return
0,605.6284180,319.8617554,4725.8496094
1,3990.4438477,110.2260818,816.1610107
2,4519.3891602,68.9442215,4078.9758301
3,4565.0986328,158.6614075,4542.1953125
4,4085.6901855,926.9142456,4630.5117188
5,4652.1225586,85.3230286,4570.4570312
6,4465.4770508,604.2754517,4557.5859375
7,4656.5219727,38.4391518,4601.1142578
8,4414.3725586,894.3573608,4529.9047852
9,3960.4094238,1663.3133545,4634.0410156
