DAgger Iterations,Mean Return,Stdev Return,Train Max Return
0,331.0963745,45.8510437,10365.4990234
1,327.0725708,25.8243618,579.2498169
2,779.2814941,183.8652649,511.2473450
3,1337.9902344,247.7068176,1471.6541748
4,6612.2587891,1061.0378418,3025.8715820
5,7426.3930664,2951.2885742,10083.0605469
6,5943.6621094,75.4052734,10306.1093750
7,10561.3251953,0.0,10476.2617188
8,10455.5019531,0.0,10459.0527344
9,10355.0117188,0.0,10498.2666016

