Wall time,Step,Value
1771816285.7297513,0,16.83333396911621
1771816287.4996445,1,17.625
1771816289.2182171,2,20.14285659790039
1771816290.5503938,3,19.047618865966797
1771816291.931456,4,32.69230651855469
1771816293.3017373,5,52.875
1771816294.6706836,6,32.92307662963867
1771816296.0836737,7,53.77777862548828
1771816297.4945452,8,55.5
1771816299.103775,9,96.80000305175781
1771816300.9059286,10,60.85714340209961
1771816302.6331432,11,69.66666412353516
1771816304.096794,12,56.125
1771816305.6161802,13,75.0
1771816307.0446475,14,90.19999694824219
1771816308.456605,15,68.16666412353516
1771816309.8397627,16,110.25
1771816311.2920656,17,65.42857360839844
1771816312.9466126,18,39.3636360168457
1771816314.7145133,19,30.769229888916016
1771816316.2867384,20,28.785715103149414
1771816317.6796122,21,29.933332443237305
1771816319.034731,22,25.0625
1771816320.3952498,23,25.5
1771816321.7603657,24,21.578947067260742
1771816323.129257,25,23.55555534362793
1771816324.4763584,26,22.72222137451172
1771816326.0000284,27,23.823530197143555
1771816327.7053754,28,23.52941131591797
1771816329.383332,29,28.733333587646484
1771816330.8007364,30,31.64285659790039
1771816332.2378917,31,39.0
1771816333.612736,32,52.375
1771816335.1013606,33,76.14286041259766
1771816336.533071,34,110.0
1771816337.9790077,35,158.6666717529297
1771816339.7492702,36,133.75
1771816341.7909896,37,135.0
1771816343.297929,38,134.3333282470703
1771816344.7720635,39,112.0
1771816346.1242187,40,83.5999984741211
1771816347.5441873,41,73.66666412353516
1771816348.960395,42,54.875
1771816350.333735,43,55.625
1771816351.6996515,44,50.625
1771816353.4709764,45,43.79999923706055
1771816355.307751,46,42.20000076293945
1771816356.7054398,47,48.66666793823242
1771816358.1027584,48,41.29999923706055
1771816359.4843175,49,42.5
1771816360.8456182,50,38.272727966308594
1771816362.3000512,51,39.09090805053711
1771816363.7091324,52,35.83333206176758
1771816365.149554,53,37.0
1771816366.9128737,54,40.900001525878906
1771816368.7295687,55,37.818180084228516
1771816370.1451566,56,35.33333206176758
1771816371.532851,57,34.41666793823242
1771816372.9424717,58,29.35714340209961
1771816374.3332908,59,28.33333396911621
1771816375.7318978,60,29.571428298950195
1771816377.0820172,61,30.769229888916016
1771816378.4202256,62,32.46154022216797
1771816380.2103124,63,33.41666793823242
1771816382.0719051,64,37.0
1771816383.41536,65,34.58333206176758
1771816384.7805176,66,34.16666793823242
1771816386.1724746,67,31.923076629638672
1771816387.5713084,68,33.153846740722656
1771816388.9374888,69,34.08333206176758
1771816390.3281581,70,36.45454406738281
1771816391.7925062,71,35.41666793823242
1771816393.611629,72,35.25
1771816395.5190704,73,39.181819915771484
1771816396.9514744,74,36.6363639831543
1771816398.2946815,75,40.0
1771816399.6694682,76,45.11111068725586
1771816401.1106749,77,47.88888931274414
1771816402.5060632,78,53.875
1771816403.8703473,79,70.33333587646484
1771816405.4431646,80,124.5
1771816407.4031632,81,139.6666717529297
1771816409.345193,82,192.6666717529297
1771816410.7617958,83,200.0
1771816412.1480272,84,200.0
1771816413.5679708,85,200.0
1771816414.9459302,86,200.0
1771816416.2982156,87,200.0
1771816417.8247669,88,188.3333282470703
1771816419.4968617,89,142.0
1771816421.334772,90,137.0
1771816423.0815668,91,125.0
1771816424.5741498,92,113.5
1771816426.0373955,93,112.0
1771816427.570639,94,113.5
1771816429.0146234,95,105.0
1771816430.4163327,96,101.5
1771816431.7949455,97,105.5
1771816433.534317,98,71.16666412353516
1771816435.4595654,99,69.83333587646484
