Wall time,Step,Value
1771818669.3122914,0,21.894737243652344
1771818670.731664,1,34.91666793823242
1771818672.1389174,2,65.0
1771818673.4827783,3,57.28571319580078
1771818675.0335352,4,176.0
1771818676.6144297,5,103.80000305175781
1771818678.1358385,6,195.6666717529297
1771818679.8597524,7,170.6666717529297
1771818681.8873603,8,191.6666717529297
1771818683.7028527,9,147.3333282470703
1771818685.13758,10,200.0
1771818686.515388,11,200.0
1771818687.8812904,12,200.0
1771818689.2424831,13,200.0
1771818690.6306033,14,200.0
1771818691.9865057,15,200.0
1771818693.4983785,16,200.0
1771818695.2647388,17,200.0
1771818697.0753622,18,196.3333282470703
1771818698.5580246,19,144.0
1771818700.0206356,20,128.75
1771818701.4930918,21,115.0
1771818702.882657,22,71.0
1771818704.2929692,23,68.0
1771818705.7022426,24,47.11111068725586
1771818707.3554761,25,90.19999694824219
1771818709.2643738,26,110.5
1771818711.0469475,27,120.5
1771818712.430009,28,133.3333282470703
1771818713.9827502,29,131.75
1771818715.576683,30,129.25
1771818717.143518,31,127.75
1771818718.5696495,32,116.0
1771818720.0302672,33,106.75
1771818721.9265962,34,83.4000015258789
1771818723.723146,35,72.5
1771818725.1330612,36,80.33333587646484
1771818726.6294222,37,76.0
1771818728.039183,38,83.4000015258789
1771818729.464009,39,86.0
1771818730.9235115,40,95.19999694824219
1771818732.4138727,41,96.5999984741211
1771818734.0422044,42,109.5
1771818735.9955783,43,127.5
1771818737.7892518,44,122.25
1771818739.2740119,45,119.75
1771818740.799841,46,147.25
1771818742.2849147,47,147.0
1771818743.8858852,48,129.5
1771818745.4822192,49,172.3333282470703
1771818746.9037683,50,200.0
1771818748.812115,51,200.0
1771818750.8059673,52,200.0
1771818752.149203,53,200.0
1771818753.488465,54,200.0
1771818755.184971,55,194.6666717529297
1771818756.713659,56,200.0
1771818758.4872122,57,199.0
1771818760.0878308,58,200.0
1771818761.6471143,59,200.0
1771818763.4314272,60,200.0
1771818765.0146437,61,200.0
1771818766.38589,62,200.0
1771818767.7533011,63,200.0
1771818769.107757,64,200.0
1771818770.490673,65,200.0
1771818771.845132,66,200.0
1771818773.178104,67,200.0
1771818774.663495,68,200.0
1771818776.4598718,69,200.0
1771818778.1488433,70,200.0
1771818779.4881485,71,200.0
1771818780.8275735,72,200.0
1771818782.1812735,73,200.0
1771818783.8505864,74,199.0
1771818785.5641646,75,191.3333282470703
1771818787.2848485,76,181.3333282470703
1771818789.0757632,77,161.6666717529297
1771818791.1486435,78,152.6666717529297
1771818792.7152698,79,147.6666717529297
1771818794.104455,80,142.0
1771818795.594916,81,142.3333282470703
1771818796.9852107,82,138.0
1771818798.4879322,83,134.6666717529297
1771818800.1290317,84,131.25
1771818801.6678846,85,123.0
1771818803.617314,86,129.5
1771818805.4463983,87,120.75
1771818806.879252,88,118.5
1771818808.3919327,89,119.0
1771818809.828349,90,112.75
1771818811.288546,91,110.0
1771818812.7621677,92,111.25
1771818814.2874014,93,109.75
1771818816.061829,94,103.75
1771818817.996668,95,109.25
1771818819.7040334,96,105.25
1771818821.2212002,97,107.75
1771818822.7749162,98,115.5
1771818824.2667775,99,117.5
