Wall time,Step,Value
1772994913.766308,0,44.44444274902344
1772994914.8436995,1,43.79999923706055
1772994915.884982,2,60.85714340209961
1772994916.8520024,3,56.33333206176758
1772994917.5995038,4,65.42857360839844
1772994918.3821635,5,49.44444274902344
1772994919.1632636,6,61.71428680419922
1772994919.9406025,7,102.0
1772994920.7696395,8,121.25
1772994921.5793207,9,103.19999694824219
1772994922.3723757,10,73.5
1772994923.1435723,11,88.19999694824219
1772994923.9760332,12,134.75
1772994924.9057853,13,146.0
1772994925.7711234,14,162.0
1772994926.7071826,15,156.6666717529297
1772994927.696394,16,144.0
1772994928.7788808,17,124.5
1772994929.8568866,18,120.5
1772994930.8195243,19,98.5999984741211
1772994931.646281,20,107.75
1772994932.4841492,21,101.5
1772994933.3086174,22,123.0
1772994934.0634747,23,135.3333282470703
1772994934.882983,24,160.0
1772994935.7503355,25,198.3333282470703
1772994936.5796711,26,200.0
1772994937.354195,27,200.0
1772994938.1210215,28,200.0
1772994938.8621507,29,200.0
1772994939.6574707,30,200.0
1772994940.608342,31,156.0
1772994941.6042802,32,135.0
1772994942.7198868,33,120.0
1772994943.7731214,34,101.5
1772994944.6849349,35,106.5
1772994945.4727292,36,64.0
1772994946.2841105,37,76.33333587646484
1772994947.0313776,38,71.5
1772994947.8253,39,91.4000015258789
1772994948.6113997,40,111.0
1772994949.4281685,41,117.5
1772994950.2933037,42,129.0
1772994951.060854,43,131.75
1772994951.8562582,44,153.0
1772994952.6877015,45,160.6666717529297
1772994953.4817715,46,161.0
1772994954.3663318,47,192.3333282470703
1772994955.4576535,48,200.0
1772994956.584155,49,200.0
1772994957.554476,50,200.0
1772994958.5021398,51,200.0
1772994959.2597291,52,200.0
1772994960.017441,53,200.0
1772994960.895491,54,179.0
1772994961.6805434,55,163.0
1772994962.4755583,56,153.6666717529297
1772994963.3161378,57,145.3333282470703
1772994964.0874944,58,148.3333282470703
1772994964.94168,59,148.3333282470703
1772994965.697116,60,136.6666717529297
1772994966.491094,61,139.0
1772994967.3046174,62,136.3333282470703
1772994968.1187904,63,139.6666717529297
1772994969.2226944,64,127.5
1772994970.3036575,65,141.0
1772994971.3279657,66,135.3333282470703
1772994972.3980377,67,138.3333282470703
1772994973.1966984,68,144.3333282470703
1772994973.976469,69,140.3333282470703
1772994974.7702758,70,145.0
1772994975.5384824,71,140.6666717529297
1772994976.2906518,72,139.6666717529297
1772994977.0744958,73,146.6666717529297
1772994977.8896358,74,141.3333282470703
1772994978.7287312,75,147.6666717529297
1772994979.4724386,76,140.3333282470703
1772994980.2758508,77,158.0
1772994981.0817382,78,153.3333282470703
1772994981.9285955,79,177.6666717529297
1772994982.9751117,80,184.6666717529297
1772994984.069229,81,179.3333282470703
1772994985.1363873,82,200.0
1772994986.2224329,83,200.0
1772994986.9637792,84,200.0
1772994987.697848,85,200.0
1772994988.4277763,86,200.0
1772994989.172673,87,200.0
1772994989.9148648,88,200.0
1772994990.6694043,89,200.0
1772994991.4166572,90,200.0
1772994992.1671555,91,200.0
1772994992.9222188,92,200.0
1772994993.6687346,93,200.0
1772994994.404675,94,200.0
1772994995.1261263,95,200.0
1772994995.8649943,96,200.0
1772994996.7444963,97,200.0
1772994997.6728458,98,200.0
1772994998.6954482,99,200.0
1772994999.675166,100,200.0
