Iteration,Train_EnvstepsSoFar,Train_AverageReturn
0,10001,-138.7117919921875
1,20001,-92.42633819580078
2,30001,-95.44241333007812
3,40001,-90.89183044433594
4,50001,-94.97319793701172
5,60001,-97.47940826416016
6,70001,-101.23838806152344
7,80001,-95.9582290649414
8,90001,-92.34827423095703
9,100001,-94.65629577636719
10,110001,-85.14405822753906
11,120001,-63.74726486206055
12,130001,-33.46079635620117
13,140001,-0.7175409197807312
14,150001,48.081512451171875
15,160001,104.48815155029297
16,170001,141.41249084472656
17,180001,174.53831481933594
18,190001,174.19638061523438
19,200001,175.87428283691406
20,210001,175.42971801757812
21,220001,190.07489013671875
22,230001,193.28309631347656
23,240001,201.29583740234375
24,250001,206.8330841064453
25,260001,206.9689483642578
26,270001,211.20919799804688
27,280001,215.9110565185547
28,290001,229.44644165039062
29,300001,234.9272918701172
