Iteration,Train_EnvstepsSoFar,Train_AverageReturn
0,10001,-115.42955780029297
1,20001,-94.23258972167969
2,30001,-86.58602905273438
3,40001,-82.42045593261719
4,50001,-79.42379760742188
5,60001,-81.8785171508789
6,70001,-81.77017211914062
7,80001,-84.74772644042969
8,90001,-80.51355743408203
9,100001,-76.38139343261719
10,110001,-49.83147430419922
11,120001,-18.77706527709961
12,130001,29.697172164916992
13,140001,45.9822883605957
14,150001,58.66602325439453
15,160001,68.12004089355469
16,170001,68.92205810546875
17,180001,58.26571273803711
18,190001,59.0164794921875
19,200001,70.70804595947266
20,210001,75.568359375
21,220001,82.108154296875
22,230001,87.85472106933594
23,240001,88.8125228881836
24,250001,111.07787322998047
25,260001,148.79478454589844
26,270001,195.23580932617188
27,280001,227.4769287109375
28,290001,242.80589294433594
29,300001,260.0650329589844
